# Residuals   
# Time        	Ux            	Uy            	p             
7.645         	1.676444e-03	1.246334e-03	2.201967e-02
7.64531       	1.676632e-03	1.246285e-03	2.203852e-02
7.64562       	1.676921e-03	1.246298e-03	2.229212e-02
7.64594       	1.677177e-03	1.246295e-03	2.250276e-02
7.64625       	1.677418e-03	1.246290e-03	2.240786e-02
7.64656       	1.677601e-03	1.246171e-03	2.228402e-02
7.64687       	1.677851e-03	1.246145e-03	2.238839e-02
7.64719       	1.678057e-03	1.246178e-03	2.235695e-02
7.6475        	1.678227e-03	1.246242e-03	2.249573e-02
7.64781       	1.678385e-03	1.246311e-03	2.240653e-02
7.64812       	1.678526e-03	1.246357e-03	2.235384e-02
7.64844       	1.678618e-03	1.246396e-03	2.269392e-02
7.64875       	1.678684e-03	1.246341e-03	2.240896e-02
7.64906       	1.678710e-03	1.246197e-03	2.247594e-02
7.64938       	1.678738e-03	1.246110e-03	2.231647e-02
7.64969       	1.678796e-03	1.246128e-03	2.207013e-02
7.65          	1.678858e-03	1.245996e-03	2.232598e-02
7.65032       	1.733052e-03	1.286020e-03	2.413972e-02
7.65065       	1.733251e-03	1.285830e-03	2.333684e-02
7.65097       	1.733365e-03	1.285624e-03	2.325925e-02
7.65129       	1.733493e-03	1.285455e-03	2.314082e-02
7.65161       	1.733623e-03	1.285381e-03	2.308854e-02
7.65194       	1.733799e-03	1.285437e-03	2.313537e-02
7.65226       	1.734023e-03	1.285511e-03	2.275095e-02
7.65258       	1.734255e-03	1.285604e-03	2.277128e-02
7.6529        	1.734491e-03	1.285677e-03	2.279196e-02
7.65323       	1.734700e-03	1.285694e-03	2.265222e-02
7.65355       	1.734946e-03	1.285693e-03	2.257089e-02
7.65387       	1.735159e-03	1.285691e-03	2.255524e-02
7.65419       	1.735329e-03	1.285672e-03	2.246515e-02
7.65452       	1.735563e-03	1.285746e-03	2.234321e-02
7.65484       	1.735744e-03	1.285839e-03	2.247043e-02
7.65516       	1.735948e-03	1.285986e-03	2.239812e-02
7.65548       	1.736125e-03	1.286095e-03	2.281332e-02
7.65581       	1.736308e-03	1.286229e-03	2.248289e-02
7.65613       	1.736486e-03	1.286244e-03	2.260774e-02
7.65645       	1.736634e-03	1.286326e-03	2.233259e-02
7.65677       	1.736674e-03	1.286261e-03	2.257763e-02
7.6571        	1.736816e-03	1.286195e-03	2.257308e-02
7.65742       	1.736901e-03	1.286018e-03	2.245866e-02
7.65774       	1.737050e-03	1.285883e-03	2.238941e-02
7.65806       	1.737252e-03	1.285837e-03	2.250858e-02
7.65839       	1.737483e-03	1.285786e-03	2.268864e-02
7.65871       	1.737712e-03	1.285878e-03	2.263904e-02
7.65903       	1.737894e-03	1.285946e-03	2.275498e-02
7.65935       	1.738070e-03	1.286020e-03	2.269109e-02
7.65968       	1.738242e-03	1.286069e-03	2.286974e-02
7.66          	1.738431e-03	1.286116e-03	2.268333e-02
7.66032       	1.738596e-03	1.286169e-03	2.277787e-02
7.66065       	1.738771e-03	1.286180e-03	2.298753e-02
7.66097       	1.738921e-03	1.286100e-03	2.280957e-02
7.66129       	1.739045e-03	1.286091e-03	2.303251e-02
7.66161       	1.739155e-03	1.286032e-03	2.318774e-02
7.66194       	1.739210e-03	1.285988e-03	2.305244e-02
7.66226       	1.739317e-03	1.286055e-03	2.323787e-02
7.66258       	1.739397e-03	1.286080e-03	2.326583e-02
7.6629        	1.739514e-03	1.286188e-03	2.308326e-02
7.66323       	1.739600e-03	1.286216e-03	2.343775e-02
7.66355       	1.739678e-03	1.286195e-03	2.396330e-02
7.66387       	1.739799e-03	1.286179e-03	2.417991e-02
7.66419       	1.739962e-03	1.286110e-03	2.402219e-02
7.66452       	1.740123e-03	1.286067e-03	2.394444e-02
7.66484       	1.740333e-03	1.286090e-03	2.375460e-02
7.66516       	1.740504e-03	1.286135e-03	2.364321e-02
7.66548       	1.740668e-03	1.286173e-03	2.335252e-02
7.66581       	1.740840e-03	1.286285e-03	2.363604e-02
7.66613       	1.741029e-03	1.286408e-03	2.362389e-02
7.66645       	1.741197e-03	1.286572e-03	2.340668e-02
7.66677       	1.741353e-03	1.286732e-03	2.342716e-02
7.6671        	1.741506e-03	1.286871e-03	2.351569e-02
7.66742       	1.741664e-03	1.286998e-03	2.359276e-02
7.66774       	1.741847e-03	1.287081e-03	2.343899e-02
7.66806       	1.742062e-03	1.287147e-03	2.358054e-02
7.66839       	1.742251e-03	1.287252e-03	2.389100e-02
7.66871       	1.742401e-03	1.287283e-03	2.415995e-02
7.66903       	1.742540e-03	1.287295e-03	2.416497e-02
7.66935       	1.742713e-03	1.287354e-03	2.451841e-02
7.66968       	1.742906e-03	1.287445e-03	2.442256e-02
7.67          	1.743101e-03	1.287505e-03	2.433634e-02
7.67034       	1.863399e-03	1.376294e-03	3.033467e-02
7.67069       	1.863591e-03	1.376149e-03	2.814056e-02
7.67103       	1.863788e-03	1.376047e-03	2.733151e-02
7.67138       	1.863968e-03	1.376132e-03	2.687481e-02
7.67172       	1.864067e-03	1.376243e-03	2.650284e-02
7.67207       	1.864184e-03	1.376420e-03	2.640347e-02
7.67241       	1.864260e-03	1.376548e-03	2.634801e-02
7.67276       	1.864392e-03	1.376639e-03	2.620946e-02
7.6731        	1.864576e-03	1.376765e-03	2.605895e-02
7.67345       	1.864701e-03	1.376845e-03	2.630859e-02
7.67379       	1.864814e-03	1.376914e-03	2.652773e-02
7.67414       	1.864933e-03	1.377062e-03	2.630545e-02
7.67448       	1.865030e-03	1.377155e-03	2.629016e-02
7.67483       	1.865126e-03	1.377218e-03	2.610601e-02
7.67517       	1.865259e-03	1.377359e-03	2.605848e-02
7.67552       	1.865374e-03	1.377405e-03	2.612651e-02
7.67586       	1.865563e-03	1.377429e-03	2.636641e-02
7.67621       	1.865779e-03	1.377433e-03	2.603661e-02
7.67655       	1.865988e-03	1.377334e-03	2.631423e-02
7.6769        	1.866128e-03	1.377281e-03	2.655750e-02
7.67724       	1.866277e-03	1.377291e-03	2.647291e-02
7.67759       	1.866430e-03	1.377286e-03	2.670864e-02
7.67793       	1.866674e-03	1.377398e-03	2.655034e-02
7.67828       	1.866894e-03	1.377616e-03	2.665307e-02
7.67862       	1.867073e-03	1.377811e-03	2.652712e-02
7.67897       	1.867212e-03	1.377884e-03	2.650969e-02
7.67931       	1.867309e-03	1.377945e-03	2.641561e-02
7.67966       	1.867439e-03	1.377950e-03	2.614269e-02
7.68          	1.867607e-03	1.377977e-03	2.595246e-02
7.68037       	2.006026e-03	1.479977e-03	3.155768e-02
7.68074       	2.006259e-03	1.479864e-03	2.926925e-02
7.68111       	2.006489e-03	1.479883e-03	2.833396e-02
7.68148       	2.006754e-03	1.479916e-03	2.780119e-02
7.68185       	2.007027e-03	1.480094e-03	2.747439e-02
7.68222       	2.007177e-03	1.480167e-03	2.745613e-02
7.68259       	2.007313e-03	1.480285e-03	2.763432e-02
7.68296       	2.007398e-03	1.480381e-03	2.771698e-02
7.68333       	2.007469e-03	1.480281e-03	2.804899e-02
7.6837        	2.007618e-03	1.480270e-03	2.869043e-02
7.68407       	2.007651e-03	1.480205e-03	2.893805e-02
7.68444       	2.007717e-03	1.480166e-03	2.866519e-02
7.68481       	2.007924e-03	1.480303e-03	2.854011e-02
7.68519       	2.008080e-03	1.480419e-03	2.848976e-02
7.68556       	2.008221e-03	1.480484e-03	2.858790e-02
7.68593       	2.008324e-03	1.480498e-03	2.839197e-02
7.6863        	2.008425e-03	1.480510e-03	2.841407e-02
7.68667       	2.008550e-03	1.480439e-03	2.849053e-02
7.68704       	2.008649e-03	1.480307e-03	2.838773e-02
7.68741       	2.008820e-03	1.480290e-03	2.823833e-02
7.68778       	2.009002e-03	1.480333e-03	2.778372e-02
7.68815       	2.009216e-03	1.480343e-03	2.785377e-02
7.68852       	2.009441e-03	1.480426e-03	2.764535e-02
7.68889       	2.009610e-03	1.480461e-03	2.809467e-02
7.68926       	2.009835e-03	1.480547e-03	2.800147e-02
7.68963       	2.010072e-03	1.480615e-03	2.797783e-02
7.69          	2.010260e-03	1.480645e-03	2.830181e-02
7.69036       	1.938642e-03	1.427880e-03	3.095951e-02
7.69071       	1.938775e-03	1.428044e-03	2.944098e-02
7.69107       	1.938865e-03	1.428104e-03	2.879643e-02
7.69143       	1.938973e-03	1.428223e-03	2.837376e-02
7.69179       	1.939110e-03	1.428304e-03	2.803462e-02
7.69214       	1.939330e-03	1.428475e-03	2.798207e-02
7.6925        	1.939549e-03	1.428620e-03	2.789309e-02
7.69286       	1.939676e-03	1.428639e-03	2.779334e-02
7.69321       	1.939887e-03	1.428667e-03	2.788562e-02
7.69357       	1.939983e-03	1.428670e-03	2.817957e-02
7.69393       	1.940064e-03	1.428637e-03	2.825326e-02
7.69429       	1.940197e-03	1.428648e-03	2.790666e-02
7.69464       	1.940325e-03	1.428618e-03	2.785364e-02
7.695         	1.940458e-03	1.428670e-03	2.755121e-02
7.69536       	1.940543e-03	1.428626e-03	2.770330e-02
7.69571       	1.940717e-03	1.428701e-03	2.742294e-02
7.69607       	1.940891e-03	1.428838e-03	2.732042e-02
7.69643       	1.941068e-03	1.428904e-03	2.734281e-02
7.69679       	1.941200e-03	1.429004e-03	2.767046e-02
7.69714       	1.941260e-03	1.429145e-03	2.758046e-02
7.6975        	1.941282e-03	1.429318e-03	2.739756e-02
7.69786       	1.941326e-03	1.429475e-03	2.763870e-02
7.69821       	1.941367e-03	1.429691e-03	2.769353e-02
7.69857       	1.941462e-03	1.429969e-03	2.759639e-02
7.69893       	1.941590e-03	1.430173e-03	2.766533e-02
7.69929       	1.941725e-03	1.430364e-03	2.785605e-02
7.69964       	1.941838e-03	1.430573e-03	2.791960e-02
7.7           	1.941821e-03	1.430766e-03	2.782081e-02
7.70036       	1.941835e-03	1.430946e-03	2.773329e-02
7.70071       	1.941895e-03	1.431101e-03	2.800831e-02
7.70107       	1.941969e-03	1.431295e-03	2.823185e-02
7.70143       	1.942122e-03	1.431545e-03	2.811378e-02
7.70179       	1.942207e-03	1.431705e-03	2.815464e-02
7.70214       	1.942250e-03	1.431832e-03	2.806119e-02
7.7025        	1.942288e-03	1.432102e-03	2.792314e-02
7.70286       	1.942305e-03	1.432238e-03	2.774954e-02
7.70321       	1.942358e-03	1.432429e-03	2.767883e-02
7.70357       	1.942392e-03	1.432529e-03	2.796954e-02
7.70393       	1.942456e-03	1.432653e-03	2.818813e-02
7.70429       	1.942475e-03	1.432875e-03	2.808369e-02
7.70464       	1.942458e-03	1.433070e-03	2.786844e-02
7.705         	1.942440e-03	1.433277e-03	2.817646e-02
7.70536       	1.942437e-03	1.433470e-03	2.790006e-02
7.70571       	1.942455e-03	1.433638e-03	2.776017e-02
7.70607       	1.942474e-03	1.433740e-03	2.809329e-02
7.70643       	1.942452e-03	1.433859e-03	2.840835e-02
7.70679       	1.942349e-03	1.433979e-03	2.831426e-02
7.70714       	1.942289e-03	1.434184e-03	2.824714e-02
