# Residuals   
# Time        	Ux            	Uy            	p             
0             	N/A	N/A
0.127727      	9.872118e-04	9.277147e-04	1.012160e-02
0.128182      	9.883104e-04	9.269264e-04	8.976891e-03
0.128636      	9.891802e-04	9.260014e-04	8.413598e-03
0.129091      	9.898263e-04	9.252325e-04	8.200842e-03
0.129545      	9.899315e-04	9.246519e-04	8.196446e-03
0.13          	9.897491e-04	9.239871e-04	8.337586e-03
0.130476      	1.036205e-03	9.668686e-04	2.541991e-02
0.130952      	1.034704e-03	9.646857e-04	2.012772e-02
0.131429      	1.033043e-03	9.628800e-04	1.653048e-02
0.131905      	1.030997e-03	9.610453e-04	1.410414e-02
0.132381      	1.029095e-03	9.595570e-04	1.245175e-02
0.132857      	1.027220e-03	9.574032e-04	1.149396e-02
0.133333      	1.025109e-03	9.551066e-04	1.091041e-02
0.133778      	9.554942e-04	8.901976e-04	2.997795e-02
0.134222      	9.549118e-04	8.902561e-04	2.187384e-02
0.134667      	9.548955e-04	8.901191e-04	1.643058e-02
0.135111      	9.548910e-04	8.895977e-04	1.293837e-02
0.135556      	9.545888e-04	8.889712e-04	1.080258e-02
0.136         	9.542584e-04	8.883076e-04	9.602322e-03
0.136444      	9.535578e-04	8.876565e-04	8.929343e-03
0.136889      	9.532727e-04	8.869054e-04	8.604585e-03
0.137333      	9.530210e-04	8.859626e-04	8.533592e-03
0.137778      	9.527617e-04	8.847948e-04	8.684746e-03
0.138222      	9.526085e-04	8.835743e-04	8.595465e-03
0.138667      	9.526002e-04	8.825919e-04	8.576608e-03
0.139111      	9.526563e-04	8.815060e-04	8.605469e-03
0.139556      	9.524574e-04	8.802018e-04	8.687949e-03
0.14          	9.520297e-04	8.788323e-04	8.681322e-03
0.140455      	9.728243e-04	8.971493e-04	1.621352e-02
0.140909      	9.717259e-04	8.953647e-04	1.396488e-02
0.141364      	9.713883e-04	8.933110e-04	1.263230e-02
0.141818      	9.709432e-04	8.914410e-04	1.162686e-02
0.142273      	9.707608e-04	8.899048e-04	1.100710e-02
0.142727      	9.709826e-04	8.885062e-04	1.051049e-02
0.143155      	9.147792e-04	8.351663e-04	2.780720e-02
0.143583      	9.165425e-04	8.346829e-04	2.062782e-02
0.144011      	9.181573e-04	8.341585e-04	1.589147e-02
0.144439      	9.194569e-04	8.333726e-04	1.288476e-02
0.144866      	9.208057e-04	8.323930e-04	1.100531e-02
0.145294      	9.221395e-04	8.314080e-04	9.946114e-03
0.145722      	9.236268e-04	8.304059e-04	9.318378e-03
0.14615       	9.244864e-04	8.293685e-04	8.952990e-03
0.146578      	9.261679e-04	8.281343e-04	9.020778e-03
0.147005      	9.274775e-04	8.269372e-04	9.105919e-03
0.147433      	9.286076e-04	8.257082e-04	9.281280e-03
0.147861      	9.292956e-04	8.244142e-04	9.381407e-03
