# Residuals   
# Time        	Ux            	Uy            	p             
10            	N/A	N/A
10.1297       	2.095123e-03	1.685742e-03	3.032372e-02
10.1301       	2.094826e-03	1.685787e-03	3.072589e-02
10.1305       	2.094510e-03	1.685750e-03	3.070832e-02
10.1309       	2.106036e-03	1.695336e-03	3.104189e-02
10.1313       	2.105732e-03	1.695386e-03	3.103658e-02
10.1317       	2.105475e-03	1.695449e-03	3.105553e-02
10.1321       	2.105246e-03	1.695552e-03	3.110146e-02
10.1325       	2.105018e-03	1.695602e-03	3.082839e-02
10.1329       	2.104813e-03	1.695596e-03	3.089100e-02
10.1333       	2.104566e-03	1.695573e-03	3.083372e-02
10.1337       	2.104304e-03	1.695489e-03	3.089911e-02
10.1341       	2.116537e-03	1.705559e-03	3.050245e-02
10.1345       	2.116321e-03	1.705562e-03	3.089067e-02
10.1349       	2.116132e-03	1.705656e-03	3.062507e-02
10.1352       	2.115928e-03	1.705768e-03	3.074367e-02
10.1356       	2.115660e-03	1.705900e-03	3.099091e-02
10.136        	2.115347e-03	1.706089e-03	3.099282e-02
10.1364       	2.115136e-03	1.706270e-03	3.076826e-02
10.1368       	2.114777e-03	1.706195e-03	3.083027e-02
10.1372       	2.114450e-03	1.706064e-03	3.082153e-02
10.1376       	2.114205e-03	1.706010e-03	3.133752e-02
10.138        	2.114029e-03	1.706079e-03	3.133011e-02
10.1384       	2.113899e-03	1.706205e-03	3.110662e-02
10.1388       	2.113827e-03	1.706517e-03	3.119059e-02
10.1392       	2.113742e-03	1.706808e-03	3.086369e-02
10.1396       	2.113569e-03	1.706976e-03	3.081005e-02
10.14         	2.113410e-03	1.706996e-03	3.084874e-02
10.1404       	2.113179e-03	1.707009e-03	3.052836e-02
10.1408       	2.112955e-03	1.706991e-03	3.065927e-02
10.1412       	2.112763e-03	1.707072e-03	3.082050e-02
10.1416       	2.112655e-03	1.707310e-03	3.001498e-02
10.142        	2.126853e-03	1.719055e-03	3.024701e-02
10.1424       	2.126665e-03	1.719208e-03	2.992377e-02
10.1428       	2.126525e-03	1.719398e-03	3.025035e-02
10.1432       	2.126533e-03	1.719618e-03	2.954876e-02
10.1436       	2.126402e-03	1.719730e-03	2.969760e-02
10.144        	2.126163e-03	1.719597e-03	2.978491e-02
10.1443       	2.125945e-03	1.719526e-03	2.959160e-02
10.1447       	2.125712e-03	1.719543e-03	2.958586e-02
10.1451       	2.125494e-03	1.719637e-03	2.963042e-02
10.1455       	2.125389e-03	1.719825e-03	2.943483e-02
10.1459       	2.125334e-03	1.720109e-03	2.970568e-02
10.1463       	2.125273e-03	1.720377e-03	2.985129e-02
10.1467       	2.141016e-03	1.733469e-03	2.950007e-02
10.1471       	2.140821e-03	1.733575e-03	2.977491e-02
10.1475       	2.140573e-03	1.733604e-03	3.009979e-02
10.1479       	2.140396e-03	1.733760e-03	2.979101e-02
10.1483       	2.140212e-03	1.733835e-03	2.931459e-02
10.1487       	2.140037e-03	1.733844e-03	2.948377e-02
